what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.mapping.ecore2xml,2.5.0.v200906151043,"org.eclipse.emf.mapping.ecore2xml",1262129582651
started,bundle,org.eclipse.xtend.typesystem.uml2.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.uml2.ui",1262129582671
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1262129582720
started,bundle,org.eclipse.xtend.typesystem.xsd.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.xsd.ui",1262129582769
started,bundle,org.eclipse.xtend.shared.ui,0.7.2.v200908120436,"org.eclipse.xtend.shared.ui",1262129582769
started,bundle,org.eclipse.xtend.typesystem.emf.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.emf.ui",1262129582789
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.100.v20090525,"org.eclipse.equinox.p2.updatesite",1262129588105
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262129608700
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262129615221
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262131687806
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262131756361
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1262131902396
started,bundle,org.eclipse.emf.converter,2.5.0.v200906151043,"org.eclipse.emf.converter",1262131971787
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1262131974481
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1262131974481
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262131974590
started,bundle,org.eclipse.gmf.xpand.migration,1.0.0.v20090608-0720,"org.eclipse.gmf.xpand.migration",1262132001311
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1262132001575
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1262132001601
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1262132001764
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262132010533
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1262132028425
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1262132028760
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1262132046030
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262132046105
